Date,DateKey,Year,Quarter,Month_Number,Month,Year_Month,Week_Number,Day_of_Week,Is_Weekend
2025-10-13,20251013,2025,Q4,10,październik,2025-10,42,poniedziałek,Nie
2025-10-19,20251019,2025,Q4,10,październik,2025-10,42,niedziela,Tak
2025-10-21,20251021,2025,Q4,10,październik,2025-10,43,wtorek,Nie
2025-10-22,20251022,2025,Q4,10,październik,2025-10,43,środa,Nie
2025-11-05,20251105,2025,Q4,11,listopad,2025-11,45,środa,Nie
2025-11-06,20251106,2025,Q4,11,listopad,2025-11,45,czwartek,Nie
2025-11-19,20251119,2025,Q4,11,listopad,2025-11,47,środa,Nie
2025-11-25,20251125,2025,Q4,11,listopad,2025-11,48,wtorek,Nie
2025-11-30,20251130,2025,Q4,11,listopad,2025-11,48,niedziela,Tak
2025-12-07,20251207,2025,Q4,12,grudzień,2025-12,49,niedziela,Tak
2025-12-11,20251211,2025,Q4,12,grudzień,2025-12,50,czwartek,Nie
2025-12-13,20251213,2025,Q4,12,grudzień,2025-12,50,sobota,Tak
2025-12-15,20251215,2025,Q4,12,grudzień,2025-12,51,poniedziałek,Nie
