Date,Campaign_ID,Channel_ID,Audience_ID,Region_ID,Impressions,Clicks,Conversions,New_Customers,Spend_PLN,Revenue_PLN,Gross_Profit_PLN,Engagement_Score
2025-02-05,C0023,CH02,AU03,RG04,27747,460,16,15,1715.14,7587.19,3393.06,7.8
2025-02-10,C0178,CH02,AU05,RG01,44769,949,65,53,2705.01,10153.63,5725.36,7.11
2025-02-04,C0093,CH04,AU04,RG02,92080,864,22,12,1619.74,7569.79,3695.86,3.6
2025-03-30,C0142,CH02,AU01,RG01,86221,1486,45,33,4858.65,8050.25,4514.18,7.6
2025-03-18,C0037,CH05,AU06,RG05,67713,3206,192,164,9567.01,79845.41,33301.64,7.26
2025-03-19,C0135,CH03,AU02,RG04,26876,3487,264,200,4443.43,274011.57,60675.61,6.66
2025-03-23,C0079,CH03,AU06,RG04,15909,1947,159,90,4182.87,106670.83,36263.64,6.69
2025-03-19,C0155,CH02,AU06,RG04,112830,2559,124,110,7194.68,57931.69,24820.78,7.55
2025-04-21,C0142,CH02,AU01,RG01,50549,879,26,20,2939.63,4938.87,2844.27,7.3
2025-04-22,C0187,CH01,AU07,RG05,18046,799,45,29,5085.69,7791.65,4429.74,5.43
2025-04-22,C0168,CH05,AU05,RG02,66920,1399,16,6,8301.27,4062.18,1999.57,8.55
2025-04-15,C0088,CH04,AU05,RG05,215022,1104,11,5,4260.03,2016.03,956.8,3.81
2025-04-25,C0168,CH05,AU05,RG02,40353,704,8,3,6896.8,1461.28,707.66,7.47
2025-05-28,C0159,CH04,AU03,RG01,74771,547,8,4,1512.89,3123.46,1379.21,3.86
2025-05-24,C0113,CH01,AU03,RG05,17913,1084,69,65,7022.63,25489.47,11048.59,5.25
2025-05-22,C0127,CH05,AU05,RG06,147321,3496,174,148,11611.19,23550.62,13063.88,8.39
2025-05-13,C0020,CH04,AU05,RG05,106661,601,3,2,2006.02,421.45,234.84,2.8
2025-05-28,C0109,CH01,AU04,RG03,21201,1049,85,28,5599.63,76147.55,24962.65,5.11
2025-06-20,C0159,CH04,AU03,RG01,86545,668,20,10,1507.52,8285.75,3531.52,4.38
2025-06-12,C0082,CH03,AU07,RG02,20372,2296,181,39,4022.62,50330.67,25102.62,6.17
2025-06-30,C0039,CH03,AU01,RG02,44404,4880,431,100,4890.73,342543.49,76873.27,5.85
2025-06-11,C0158,CH02,AU03,RG02,65303,997,37,27,3990.16,11307.09,5632.99,6.98
2025-06-30,C0119,CH01,AU03,RG04,30440,1576,104,35,5595.26,36762.51,17563.51,4.98
2025-07-24,C0053,CH03,AU06,RG01,16374,1348,80,66,4166.1,36314.53,15370.45,5.88
2025-07-23,C0185,CH05,AU07,RG04,46604,2129,129,110,8092.23,59299.13,20537.67,7.56
2025-07-05,C0199,CH05,AU06,RG06,140513,3798,161,139,11374.12,54312.75,23824.54,7.76
2025-07-30,C0165,CH02,AU05,RG06,62729,1182,55,46,3992.95,8785.75,4291.75,7.64
2025-07-25,C0045,CH02,AU07,RG04,38297,916,44,35,2378.24,14803.16,6293.31,7.91
2025-08-27,C0231,CH03,AU02,RG02,21510,3181,224,124,3909.41,110324.84,36781.86,6.64
2025-08-19,C0096,CH02,AU04,RG05,90992,2266,90,80,5792.04,29598.32,16521.69,7.78
2025-08-18,C0019,CH03,AU07,RG02,41527,5460,608,153,5102.63,163428.68,77738.87,6.46
2025-08-11,C0067,CH03,AU04,RG06,12530,1829,169,82,3891.22,214381.06,46052.92,6.37
2025-08-06,C0019,CH03,AU07,RG02,32766,3887,396,104,4336.33,105719.9,51757.02,6.96
2025-09-17,C0154,CH01,AU05,RG02,14893,922,92,29,4371.05,74193.72,16141.83,5.21
2025-09-09,C0163,CH05,AU07,RG01,107376,3806,182,158,10902.59,57614.05,27847.42,8.26
2025-09-09,C0136,CH02,AU07,RG02,76126,2109,106,34,4958.09,21579.94,11484.37,7.83
2025-09-01,C0058,CH01,AU05,RG01,27924,1326,125,114,6554.27,32841.46,15753.89,5.75
2025-09-14,C0096,CH02,AU04,RG05,55029,1163,39,36,3203.17,11786.38,6604.3,7.39
2025-10-03,C0209,CH04,AU03,RG04,236323,1512,40,8,4582.5,9076.78,5072.43,3.79
2025-10-21,C0121,CH05,AU04,RG04,90481,3023,164,52,10233.99,146833.34,50804.37,8.28
2025-10-22,C0091,CH05,AU07,RG06,108479,3608,182,143,10313.06,46073.69,22092.03,8.41
2025-10-13,C0227,CH02,AU01,RG01,87362,1700,39,15,4893.53,13057.28,5678.26,8.87
2025-10-19,C0189,CH04,AU06,RG01,147777,1224,23,17,2962.05,17195.46,5686.52,3.53
2025-11-30,C0153,CH01,AU03,RG03,25179,1683,220,131,11521.94,41132.29,22791.85,5.25
2025-11-25,C0228,CH04,AU06,RG01,63526,404,3,2,1357.82,1177.05,561.12,4.28
2025-11-05,C0170,CH05,AU01,RG04,186336,6917,445,385,17879.28,113351.12,56373.94,8.66
2025-11-06,C0034,CH01,AU02,RG06,33527,2314,290,166,15239.79,75791.74,31853.8,5.42
2025-11-19,C0086,CH01,AU03,RG04,41283,2899,336,91,14299.75,376397.48,82450.81,4.82
2025-12-07,C0047,CH01,AU07,RG04,23562,1160,106,97,7302.63,102327.93,22697.08,4.92
2025-12-11,C0124,CH02,AU03,RG04,110100,2241,108,31,7225.72,53545.93,17972.27,7.76
2025-12-13,C0197,CH02,AU01,RG03,126167,3857,305,82,8408.16,90799.78,38442.8,9.08
2025-12-07,C0197,CH02,AU01,RG03,115982,3835,251,69,8724.94,68947,30368.7,8.51
2025-12-15,C0124,CH02,AU03,RG04,56796,1133,49,18,3749.62,28075.63,9574.2,8.7
