Campaign_ID,Campaign_Name,Campaign_Type,Product_Category,Start_Date,End_Date,Planned_Duration_Days,Budget_PLN
C0002,Search | Fitness | Acquisition | 002,Acquisition,Fitness,2024-04-23,2024-06-01,40,222970.4
C0197,Social Media | Fitness | Retargeting | 197,Retargeting,Fitness,2025-11-14,2025-12-25,42,264366.85
C0199,Influencer | Fitness | Acquisition | 199,Acquisition,Fitness,2025-06-24,2025-07-31,38,331578.46
C0200,Email | Beauty | Product Launch | 200,Product Launch,Beauty,2024-02-18,2024-03-29,41,189043.98
C0204,Social Media | Electronics | Retargeting | 204,Retargeting,Electronics,2024-02-17,2024-03-27,40,176975.18
C0208,Social Media | Beauty | Retargeting | 208,Retargeting,Beauty,2024-05-04,2024-06-14,42,153629.72
C0209,Display | Beauty | Retargeting | 209,Retargeting,Beauty,2025-10-01,2025-11-14,45,135673.25
C0216,Email | Home & Living | Acquisition | 216,Acquisition,Home & Living,2024-05-25,2024-06-22,29,125651.04
C0222,Social Media | Beauty | Retargeting | 222,Retargeting,Beauty,2024-07-08,2024-08-13,37,176234.55
C0223,Display | Home & Living | Seasonal Promo | 223,Seasonal Promo,Home & Living,2024-01-21,2024-02-12,23,66811.9
C0227,Social Media | Fitness | Brand Awareness | 227,Brand Awareness,Fitness,2025-10-09,2025-10-23,15,52823.43
C0228,Display | Fashion | Brand Awareness | 228,Brand Awareness,Fashion,2025-11-22,2025-12-21,30,82358.3
C0229,Influencer | Fitness | Retargeting | 229,Retargeting,Fitness,2024-12-01,2024-12-27,27,320681.83
C0230,Search | Fashion | Brand Awareness | 230,Brand Awareness,Fashion,2024-01-08,2024-01-25,18,65218.86
C0231,Email | Home & Living | Seasonal Promo | 231,Seasonal Promo,Home & Living,2025-08-21,2025-09-21,32,129178.96
C0232,Search | Home & Living | Brand Awareness | 232,Brand Awareness,Home & Living,2025-01-10,2025-02-14,36,121860.48
C0236,Display | Fashion | Brand Awareness | 236,Brand Awareness,Fashion,2024-11-06,2024-12-08,33,134062.78
C0239,Social Media | Home & Living | Brand Awareness | 239,Brand Awareness,Home & Living,2025-01-14,2025-02-24,42,192209.42
